DEPTH,FEATURE0,FEATURE1
128.0371478369664,525,1193
128.04822624703644,528,1170
128.05930465710648,524,1224
128.07038306717655,527,1185
128.0814614772466,536,1233
128.09253988731663,533,1210
128.1036182973867,537,1202
128.11469670745674,544,1202
128.1257751175268,545,1154
128.13685352759686,548,1244
128.1479319376669,548,1240
128.15901034773697,547,1110
128.170088757807,551,1224
128.18116716787705,550,1170
128.19224557794712,401,1228
128.20332398801716,400,1162
128.2144023980872,552,1186
128.22548080815727,393,1212
128.2365592182273,134,1207
128.24763762829735,551,1187
128.25871603836742,553,1204
128.26979444843747,547,1203
128.2808728585075,526,1201
128.29195126857758,548,1198
128.30302967864762,553,1187
128.31410808871766,550,1178
128.32518649878773,403,1196
128.33626490885777,141,1162
128.34734331892784,272,1130
128.35842172899788,540,1155
128.36950013906792,541,1162
128.380578549138,541,1200
128.39165695920804,538,1138
128.40273536927808,400,1205
128.41381377934815,207,1202
128.4248921894182,401,1211
128.43597059948826,534,1213
128.4470490095583,526,1211
128.45812741962834,524,1202
128.4692058296984,401,1178
128.48028423976845,523,1169
128.4913626498385,522,1130
128.50244105990856,524,1201
128.5135194699786,522,1216
128.52459788004865,517,1202
128.53567629011872,518,1201
128.54675470018876,519,1146
128.5578331102588,516,1204
128.56891152032887,510,1185
128.5799899303989,150,1170
128.59106834046895,251,1200
128.60214675053902,152,1142
128.61322516060906,512,1113
128.6243035706791,508,1162
128.63538198074917,508,1178
128.64646039081921,513,1201
128.65753880088928,511,1178
128.66861721095933,463,1201
128.67969562102937,501,1202
128.69077403109944,274,1121
128.70185244116948,148,1162
128.71293085123952,511,1198
128.7240092613096,509,1214
128.73508767137963,515,1191
128.74616608144967,506,1218
128.75724449151974,275,1161
128.76832290158978,150,1109
128.77940131165985,513,1125
128.7904797217299,516,1111
128.80155813179994,519,1218
128.81263654187,528,1170
128.82371495194005,528,1215
128.8347933620101,529,1186
128.84587177208016,529,1212
128.8569501821502,535,1209
128.86802859222024,537,1186
128.8791070022903,539,1155
128.89018541236035,543,1193
128.9012638224304,547,1203
128.91234223250046,537,1177
128.9234206425705,551,1200
128.93449905264055,554,1196
128.94557746271062,559,1186
128.95665587278066,562,1190
128.9677342828507,572,1191
128.97881269292077,578,1177
128.9898911029908,576,1189
129.00096951306088,581,1191
129.01204792313092,584,1170
129.02312633320096,596,1170
129.03420474327103,600,1190
129.04528315334107,601,1170
129.05636156341112,601,1138
129.06743997348119,601,1169
129.07851838355123,590,1117
129.0895967936213,588,1186
129.10067520369134,582,1154
129.11175361376138,569,1181
129.12283202383145,560,1173
129.1339104339015,570,1173
129.14498884397153,563,1177
129.1560672540416,557,1173
129.16714566411164,561,1168
129.17822407418168,553,1169
129.18930248425175,555,1169
129.2003808943218,555,1169
129.21145930439184,556,1123
129.2225377144619,560,1178
129.23361612453195,562,1179
129.244694534602,562,1181
129.25577294467206,575,1170
129.2668513547421,579,1117
129.27792976481214,578,1138
129.2890081748822,583,1107
129.30008658495225,575,1198
129.3111649950223,592,1203
129.32224340509237,597,1212
129.3333218151624,600,1207
129.34440022523248,604,1162
129.35547863530252,608,1110
129.36655704537256,607,1110
129.37763545544263,607,1162
129.38871386551267,603,1110
129.3997922755827,602,1161
129.41087068565278,580,1161
129.42194909572282,604,1130
129.4330275057929,603,1207
129.44410591586293,558,1138
129.45518432593298,401,1210
129.46626273600305,369,1154
129.4773411460731,557,1213
129.48841955614313,558,1217
129.4994979662132,601,1190
129.51057637628324,602,1214
129.52165478635328,606,1111
129.53273319642335,607,1108
129.5438116064934,608,1130
129.55489001656343,610,1218
129.5659684266335,610,1222
129.57704683670354,611,1221
129.5881252467736,616,1122
129.59920365684366,616,1221
129.6102820669137,619,1227
129.62136047698377,620,1154
129.6324388870538,604,1124
129.64351729712385,260,1146
129.65459570719392,619,1235
129.66567411726396,624,1236
129.676752527334,604,1146
129.68783093740407,621,1186
129.6989093474741,619,1123
129.70998775754416,614,1229
129.72106616761423,614,1122
129.73214457768427,612,1223
129.7432229877543,606,1221
129.75430139782438,607,1201
129.76537980789442,609,1218
129.7764582179645,604,1215
129.78753662803453,600,1212
129.79861503810457,599,1207
129.80969344817464,590,1139
129.82077185824468,591,1146
129.83185026831472,588,1204
129.8429286783848,587,1200
129.85400708845484,587,1201
129.86508549852488,584,1200
129.87616390859495,578,1175
129.887242318665,581,1195
129.89832072873503,583,1199
129.9093991388051,578,1124
129.92047754887514,573,1182
129.93155595894518,572,1110
129.94263436901525,567,1124
129.9537127790853,565,1138
129.96479118915533,563,1154
129.9758695992254,563,1109
129.98694800929545,401,1117
129.99802641936552,553,1083
130.00910482943556,556,1196
130.0201832395056,558,1191
130.03126164957567,557,1111
130.0423400596457,554,1200
130.05341846971578,550,1156
130.06449687978582,555,1111
130.07557528985586,551,1109
130.08665369992593,553,1208
130.09773210999597,552,1210
130.10881052006602,553,1186
130.11988893013609,553,1200
130.13096734020613,554,1111
130.14204575027617,557,1170
130.15312416034624,554,1146
130.16420257041628,551,1123
130.17528098048632,399,1109
130.1863593905564,552,1219
130.19743780062643,409,1217
130.20851621069647,511,1112
130.21959462076654,552,1154
130.23067303083658,551,1207
130.24175144090663,552,1111
130.2528298509767,552,1154
130.26390826104674,552,1154
130.27498667111678,558,1219
130.28606508118685,553,1219
130.2971434912569,555,1218
130.30822190132693,526,1221
130.319300311397,554,1177
130.33037872146704,124,1228
130.3414571315371,126,1233
130.35253554160715,126,1238
130.3636139516772,555,1239
130.37469236174726,555,1201
130.3857707718173,557,1229
130.39684918188735,557,1217
130.40792759195742,557,1230
130.41900600202746,558,1220
130.43008441209753,560,1201
130.44116282216757,560,1223
130.4522412322376,559,1193
130.46331964230768,559,1154
